text,sentiment,clean_text
ke sini beberapa tahun yang lalu bersama teman-teman . suasana nya sangat menyenangkan dengan pemandangan yang bagus dan hawa dingin yang menyegarkan . akan lebih baik datang ke sini pada malam hari . steak nya enak .,positive,temanteman suasana nya menyenangkan pemandangan bagus hawa dingin menyegarkan malam steak nya enak
"dari saya debut . empat bagus tetapi yang bikin suka sekali itu tonight dengan saranghajima . tidak mengerti apa aku saja atau yang lain merasakan ini , winner adalah abang selain bigbang yang kalau nyanyi jiwa nya ikutan nyanyi . bagus banget . dan makin cinta dengan mereka setelah tahu sifat dan sikap saya .",positive,debut bagus bikin suka tonight saranghajima mengerti merasakan winner abang bigbang nyanyi jiwa nya ikutan nyanyi bagus banget cinta sifat sikap
sangat melelahkan malam ini .,negative,melelahkan malam
marah,negative,marah
"tidak dong . aku pilih sby , eh pilih prabowo maksude . dan yang akan datang aku pilih yang selain jokowi seperti biasanya yang selain dari partai banteng moncong tepung . grinningfacewithsmilingeyes",negative,pilih sby eh pilih prabowo maksude pilih jokowi partai banteng moncong tepung grinningfacewithsmilingeyes
"puas dengan servis nya , ramah ! harga nya sebanding dengan pelayanan dan rasanya . pemandangan nya yang keren banget , cocok buat acara ngumpul bareng teman dan keluarga ! pokok nya rekomendasi sekali ! tidak menyesal deh , pokok nya harus ke sini lagi ! saya dilayani oleh feriyana yang super ramah dan baik , pokok nya buat teman-teman the 18th ini recommened sekali !",positive,puas servis nya ramah harga nya sebanding pelayanan pemandangan nya keren banget cocok acara ngumpul bareng teman keluarga pokok nya rekomendasi menyesal deh pokok nya dilayani feriyana super ramah pokok nya temanteman the th recommened
"ini pertama kali saya makan abuba steak di luar jakarta . rasanya agak berbeda dengan yang saya biasa nikmati di abuba steak jakarta . kurang enak . suasana restoran nya oke . toilet nya sudah agak tua , harus sedikit diperbaharui",negative,kali makan abuba steak jakarta berbeda nikmati abuba steak jakarta enak suasana restoran nya oke toilet nya tua diperbaharui
ini xl jaringan nya jelek banget ya,negative,xl jaringan nya jelek banget ya
saya puas dengan games mobile legend,positive,puas games mobile legend
"saya bersama rekan kerja sengaja mencoba makan siang di sambal khas karmila cab . buah batu bandung , untuk tempat terbilang cozzy dan cukup nyaman jika di lantai atas , sedangkan lantai dasar saya rasa tidak lebih dari tempat makan makanan cepat saji yang cukup penuh dengan hiruk pikuk pelanggan . rasa ayam bakar di sini sangat saya rekomendasikan bersama sambal mangga . terkait harga terbilang relative .",positive,rekan kerja sengaja mencoba makan siang sambal khas karmila cab buah batu bandung terbilang cozzy nyaman lantai lantai dasar makan makanan cepat saji penuh hiruk pikuk pelanggan ayam bakar rekomendasikan sambal mangga terkait harga terbilang relative
"kuah bakso nya terlalu asin menurut saya . masih enakan yang dijual keliling di malang . tapi tempat nya bagus buat menjamu teman . ada di banyak lokasi dan selalu ramai . selain bakso juga menyediakan capcay , nasi goreng dan lain-lain yang menurut saya justru lebih enak .",positive,kuah bakso nya asin enakan dijual keliling malang nya bagus menjamu teman lokasi ramai bakso menyediakan capcay nasi goreng lainlain enak
saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh,negative,warga jakarta malu kang oknum bertanggung sweeping bobotoh
"tenderloin steak nya juara , tempat mudah diakses memaki pun tersembunyi , nyaman , tema zaman dahulu , tidak ramai , pelayanan biasa ,",positive,tenderloin steak nya juara mudah diakses memaki tersembunyi nyaman tema zaman ramai pelayanan
"ini adalah salah satu restoran chinese yang sudah ada sejak lama . masakan dari kepiting nya favorit juara . biasa saya pesan kepiting rebus , babat toge dan cah kangkung",positive,salah restoran chinese masakan kepiting nya favorit juara pesan kepiting rebus babat toge cah kangkung
"para cebong yang selama ini menuduh saya mencuri uang sedekah 30 %, silakan anda urus si aris wahyudi ini . dia ambil komisi 20 % untuk transaksi pelacuran berkedok agama . berani tidak , membulat si aris wahyudi ini ? atau kamu semua cuma berani sama jonru ?",negative,cebong menuduh mencuri uang sedekah silakan urus si aris wahyudi ambil komisi transaksi pelacuran berkedok agama berani membulat si aris wahyudi berani jonru
menarik pilkada jawa barat ini . ada ridwan kamil berpasangan dengan tokoh dari dc universe .,positive,menarik pilkada jawa barat ridwan kamil berpasangan tokoh dc universe
suasana di kantor dpc kab. bogor menjelang pidato awal tahun 2018 oleh,neutral,suasana kantor dpc kab bogor menjelang pidato
"kalau djarum memang agak tidak kuat , dia baru kerasa tidak bagus nya pas akhir bakaran",negative,djarum kuat kerasa bagus nya pas bakaran
bakmi tasik saya dan beberapa teman mampir dan coba bakmi bakso nya . makanan nya biasa-biasa saja . tidak ada yang special .,negative,bakmi tasik teman mampir coba bakmi bakso nya makanan nya biasabiasa special
"lokasi pandan wangi sebenarnya agak jauh dari pusat kota bandung . tapi masih terjangkau , sekitar 15 menit dari jalan asia afrika . patokan jalan nya ada di jalan talaga bodas . dari sana tinggal mencari papan petunjuk pandan wangi . saat kami datang jam 1 siang sudah menanti begitu banyak orang . kebanyakan yang datang keluarga dan anak-anak . sambil menunggu disajikan gorengan dari ubi / singkong yang lumayan enak .",positive,lokasi pandan wangi pusat kota bandung terjangkau menit jalan asia afrika patokan jalan nya jalan talaga bodas tinggal mencari papan petunjuk pandan wangi jam siang orang kebanyakan keluarga anakanak menunggu disajikan gorengan ubi singkong lumayan enak
"pertama kalinya datang ke eatalia , saya datang bersama dengan teman dan 1 orang anak . tidak memsungkan ketika memlilih makanan untuk anak karena di sini menyediakan menu dengan porsi anak . kami memesan cheese bacon deluxe , pizza dengan roti berwarna hitam . untuk keseluruhan menu yang saya pesan tidak mengecewakan .",positive,kalinya eatalia teman orang anak memsungkan memlilih makanan anak menyediakan menu porsi anak memesan cheese bacon deluxe pizza roti berwarna hitam menu pesan mengecewakan
"rasanya lumayan . sambel nya juga enak . apalagi disajikan 3 macam model begitu . terus banyak pilihan sih sebenarnya mau makan apa di sini . mau gurame , mau kakap , bawal , kerang , cumi , udang . macem-macem deh . asal jangan pesan ikan kembung saja . tidak ada di sini .",positive,lumayan sambel nya enak disajikan model pilihan sih makan gurame kakap bawal kerang cumi udang macemmacem deh pesan ikan kembung
"berlokasi di salah satu tempat belanja dan rekreasi di cihampelas wali bandung , resto ini tidak mengecewakan . sajian nya cukup beragam . untuk rasanya , resto ini bisa menyajikan nya dengan cukup enak dan nikmat , sangat cocok untuk bersantap dengan pasangan atau keluarga .",positive,berlokasi salah belanja rekreasi cihampelas wali bandung resto mengecewakan sajian nya beragam resto menyajikan nya enak nikmat cocok bersantap pasangan keluarga
dizaman ini masih ada mbak mbak online shop yang tidak tahu aplikasi gojek gocar gosend ya allah bodoh sekali : jualan dihutan aku rasa,negative,dizaman mbak mbak online shop aplikasi gojek gocar gosend ya allah bodoh jualan dihutan
"restoran ini juga terletak di tempat stategis yaitu jalan dago . tepat nya di sebelah hotel holiday inn . sesuai judul nya , restoran ini menyediakan berbagai menu masakan aceh . favorit saya adalah mi aceh . harga standar tapi tidak terlalu mahal . jangan lupa coba roti canai nya",positive,restoran terletak stategis jalan dago nya sebelah hotel holiday inn sesuai judul nya restoran menyediakan menu masakan aceh favorit mi aceh harga standar mahal lupa coba roti canai nya
bihun goreng nya enak . bisa minta tidak banyak minyak . makanan di sini mengandung babi jadi tidak halal . es teh tawar porsi nya besar dan memuaskan .,positive,bihun goreng nya enak minyak makanan mengandung babi halal es teh tawar porsi nya memuaskan
lokasi tes tidak jelas . ditelepon tidak diangkat . di email cuma auto reply . tidak rekomendasi . aku baru sadar something adalah wong pas mampir ke kantor nya dan mereka cerita bahwa pernah held tes di hotel dan ruang sebelah ada kondangan . they told that without remorse,negative,lokasi tes ditelepon diangkat email auto reply rekomendasi sadar something pas mampir kantor nya cerita held tes hotel ruang sebelah kondangan they told that without remorse
"sate kambing dan gulai kambing nya maknyus , penyajian makannan nya juga sangat cepat . tempat nya cukup bersih",positive,sate kambing gulai kambing nya maknyus penyajian makannan nya cepat nya bersih
"yue ke hotel yang di mongkok hongkong , tidak ada ! bulan juni lalu , saya booked dan sudah bayar untuk 2 kamar . tapi hotel tidak ditemukan",negative,yue hotel mongkok hongkong juni booked bayar kamar hotel ditemukan
"poach salmon nya enak , pelayanan nya enak , scenery nya mantap . tank to amanda dan worth it banget deh . pasti kembali lagi",positive,poach salmon nya enak pelayanan nya enak scenery nya mantap tank to amanda worth it banget deh
orang cina makanan legendaris sudah lama banget nih orang cina makanan satu ini semuanya enak yang tidak enak cuma parkir nya saja aujubila susah nya parkir harus di seberang karena depan resto trotoar . jadi harus sabar sekali-sekali . sedih deh .,negative,orang cina makanan legendaris banget nih orang cina makanan enak enak parkir nya aujubila susah nya parkir seberang resto trotoar sabar sekalisekali sedih deh
makan di restoran pizza ini paling enak jika bersama teman . menikmati paket sensasi delight yang harga nya sangat terjangkau oleh semua kalangan .,positive,makan restoran pizza enak teman menikmati paket sensasi delight harga nya terjangkau kalangan
"hasil quick count pilgub kaltim 2018 , isran - hadi unggul",neutral,hasil quick count pilgub kaltim isran hadi unggul
kenapa kamu jerat buni yani undang-undang ite ? padahal jelas-jelas itu video berasal dari youtube yang diunggah oleh pemprov itu sendiri . harus nya yang kena undang-undang ite itu pemprov bukan buni yani . ya kan ?,negative,jerat buni yani undangundang ite jelasjelas video berasal youtube diunggah pemprov nya kena undangundang ite pemprov buni yani ya
"paket gim benar-benar mantap ! yang megah harus makan di sini , dijamin makin keren ! bravo !",positive,paket gim benarbenar mantap megah makan dijamin keren bravo
"di dekat gubernuran , tidak jauh dari jembatan penyebrangan , ada gang yang di dalam nya terdapat makanan yang sudah ada sejak zaman ibu saya . rasa kuah lontong kari kental dan agak manis , cocok ditambahkan acar yang ada di meja . porsi nya mengenyangkan",positive,gubernuran jembatan penyebrangan gang nya makanan zaman kuah lontong kari kental manis cocok acar meja porsi nya mengenyangkan
